FirstLayer_task_speed_factor_1,FirstLayer_task_speed_factor_2,FirstLayer_task_speed_factor_3,FirstLayer_task_speed_factor_4,FirstLayer_task_speed_factor_5,FirstLayer_task_share_factor_1,FirstLayer_task_share_factor_2,playerName,POSTU3,FirstLayer_arg_freq_factor_1,FirstLayer_arg_freq_factor_2,FirstLayer_arg_freq_factor_3,FirstLayer_arg_speed_factor_1,FirstLayer_arg_speed_factor_2,FirstLayer_arg_speed_factor_3,FirstLayer_arg_share_factor_1,FirstLayer_arg_share_factor_2,FirstLayer_hotkey_freq_factor_1,FirstLayer_hotkey_speed_factor_1,FirstLayer_hotkey_share_factor_1,FirstLayer_dialogue_freq_factor_1,FirstLayer_dialogue_freq_factor_2,FirstLayer_dialogue_freq_factor_3,FirstLayer_dialogue_freq_factor_4,FirstLayer_dialogue_freq_factor_5,FirstLayer_dialogue_freq_factor_6,FirstLayer_dialogue_freq_factor_7,FirstLayer_dialogue_speed_factor_1,FirstLayer_dialogue_speed_factor_2,FirstLayer_dialogue_speed_factor_3,FirstLayer_dialogue_speed_factor_4,FirstLayer_dialogue_speed_factor_5,FirstLayer_dialogue_speed_factor_6,FirstLayer_dialogue_speed_factor_7,FirstLayer_dialogue_speed_factor_8,FirstLayer_dialogue_speed_factor_9,FirstLayer_dialogue_share_factor_1,FirstLayer_dialogue_share_factor_2,FirstLayer_dialogue_share_factor_3,FirstLayer_dialogue_share_factor_4,FirstLayer_dialogue_share_factor_5,FirstLayer_dialogue_share_factor_6,FirstLayer_behaviorType_freq_factor_1,FirstLayer_behaviorType_freq_factor_2,FirstLayer_behaviorType_speed_factor_1,FirstLayer_behaviorType_share_factor_1,FirstLayer_map_share_factor_1,FirstLayer_map_duration_factor_1,FirstLayer_itemInter_freq_factor_1,FirstLayer_itemInter_freq_factor_2,FirstLayer_itemInter_freq_factor_3,FirstLayer_itemInter_freq_factor_4,FirstLayer_itemInter_freq_factor_5,FirstLayer_itemInter_freq_factor_6,FirstLayer_itemInter_freq_factor_7,FirstLayer_itemInter_freq_factor_8,FirstLayer_itemInter_freq_factor_9,FirstLayer_itemInter_freq_factor_10,FirstLayer_itemInter_freq_factor_11,FirstLayer_itemInter_speed_factor_1,FirstLayer_itemInter_speed_factor_2,FirstLayer_itemInter_speed_factor_3,FirstLayer_itemInter_speed_factor_4,FirstLayer_itemInter_speed_factor_5,FirstLayer_itemInter_speed_factor_6,FirstLayer_itemInter_speed_factor_7,FirstLayer_itemInter_speed_factor_8,FirstLayer_itemInter_share_factor_1,FirstLayer_itemInter_share_factor_2,FirstLayer_itemInter_share_factor_3,FirstLayer_itemInter_share_factor_4,FirstLayer_itemInter_share_factor_5,FirstLayer_itemInter_share_factor_6,FirstLayer_itemInter_share_factor_7,FirstLayer_itemInter_share_factor_8,FirstLayer_itemInter_share_factor_9,ThirdLayer_inter_factor_14,upstreamArgScore,FirstLayer_itemInter_freq_factor_12,FirstLayer_itemInter_freq_factor_13,FirstLayer_itemInter_freq_factor_14,FirstLayer_itemInter_speed_factor_9,FirstLayer_itemInter_speed_factor_10,FirstLayer_itemInter_speed_factor_11,SecondLayer_task_inter_factor_1,SecondLayer_task_inter_factor_2,SecondLayer_task_inter_factor_3,SecondLayer_arg_inter_factor_1,SecondLayer_arg_inter_factor_2,SecondLayer_arg_inter_factor_3,SecondLayer_hotkey_inter_factor_1,SecondLayer_hotkey_inter_factor_2,SecondLayer_tool_inter_factor_1,SecondLayer_tool_inter_factor_2,SecondLayer_dialogue_inter_factor_1,SecondLayer_dialogue_inter_factor_2,SecondLayer_behaviorType_inter_factor_1,SecondLayer_behaviorType_inter_factor_2,FirstLayer_tool_freq_factor_1,FirstLayer_tool_freq_factor_2,FirstLayer_tool_share_factor_1,FirstLayer_tool_share_factor_2,FirstLayer_tool_speed_factor_1,FirstLayer_tool_speed_factor_2,SecondLayer_dialogue_inter_factor_3,SecondLayer_dialogue_inter_factor_4,SecondLayer_dialogue_inter_factor_5,PREU3,ThirdLayer_inter_factor_1,ThirdLayer_inter_factor_2,ThirdLayer_inter_factor_3,ThirdLayer_inter_factor_4,ThirdLayer_inter_factor_5,ThirdLayer_inter_factor_6,ThirdLayer_inter_factor_7,ThirdLayer_inter_factor_8,ThirdLayer_inter_factor_9,ThirdLayer_inter_factor_10,ThirdLayer_inter_factor_11,plantScore,ThirdLayer_inter_factor_12,ThirdLayer_inter_factor_13,crateDeliveryScore,ThirdLayer_inter_factor_15,ThirdLayer_inter_factor_16,ThirdLayer_inter_factor_17,ThirdLayer_inter_factor_18,ThirdLayer_inter_factor_19,SecondLayer_Item_inter_factor_1,SecondLayer_Item_inter_factor_2,SecondLayer_Item_inter_factor_3,SecondLayer_Item_inter_factor_4,SecondLayer_behaviorType_factor_1,SecondLayer_behaviorType_factor_2,SecondLayer_mapEx_inter_factor_1,SecondLayer_tool_inter_factor_3,SecondLayer_arg_inter_factor_4,SecondLayer_dialogue_inter_factor_6,SecondLayer_Item_inter_factor_5,SecondLayer_Item_inter_factor_6
-4.117155156,-0.022883783,0,0,0,0,0,1,High,-2.871596898,0,0,0,0,2.338954015,0,0,-4.1086493,-6.561902,-9.9460945,-0.228776757,0.297955898,0.290221323,-0.435004683,0.169992967,-0.030499774,-0.133543077,-0.222173769,0.135448058,0,0,-3.095442899,4.578013694,0,0,0,0,2.027299561,-0.965949232,3.431015981,0,2.716925052,-4.507130352,1.62521692,-0.3108692,1.053998651,Small,Small,1.239590012,-2.989948082,0.147236408,0.716265227,1.029764926,-1.222586433,-1.547769696,-1.437565824,2.216750033,0.251862178,-0.776595348,-1.947047977,0.257632524,-0.773678209,-0.204969704,0.483231013,-0.112159289,-1.459327131,-0.349481315,-0.036673756,1.054857222,-0.122449495,-1.378898846,-1.135642649,0.457255441,-0.389770094,-0.61001819,0.742473009,-0.439437838,-0.30956886,2.510680486,-0.241178472,0.208313471,-1.497013564,0.526196669,-0.077733419,1.393494432,0.960851486,-0.586529195,-0.204733733,2.603376809,-1.15748729,0.725468043,1.252089068,-2.365720814,-0.334683437,-0.664439234,0.678728245,2.343018011,-0.918210148,0.58432359,-2.127508259,0.340219286,-2.0700653,5.3486714,-8.678848,High,Low,High,Low,0.109773677,-1.957499384,-0.624829438,-0.556970812,0.409848957,0.77975773,-0.169717661,0.551275563,-1.051274854,-1.007726801,0.273296416,1.033809037,-0.24964184,0.815455437,-0.629213722,-1.103864735,1.158926573,0.571349076,0.525394946,-0.747303834,1.247973072,-0.941919184,1.636144916,0.640997104,-0.011453283,-1.480888961,0.954038281,0.462737859,0.53063596,-1.451226401,0.232309661,-0.356289596
0,7.983200028,0,-4.138602548,0,0,0,2,Low,0,0,-1.067288661,0,0,0,0,2.272008995,-5.4372935,4.7153463,-10.868799,-0.453883782,0.071500038,-0.483868607,-0.186677914,-0.167117417,-0.033623802,-0.018576218,0.086107928,-0.071010222,0,0,-1.007602128,2.934628941,0,3.021134372,0,-2.270025826,1.261361097,0,0,0,-1.569032141,0.072710722,-0.524925895,2.34908711,0.928778183,Large,Large,3.022998027,0.068986449,0.631660817,-2.14474042,-0.373146983,1.517110758,0.225909642,0.678635372,0.235946741,0.582922693,0.946644036,-0.316459022,0.125141386,-0.817006791,1.223763483,1.674532261,0.441023892,0.637891887,0.958598795,3.634391052,1.788743804,2.19381779,0.128999286,-1.738135382,0.389158563,-0.122423428,0.053437872,-1.347990149,1.141568828,0.813257078,-1.782938431,0.601228913,0.260703048,2.299581471,-0.556376553,1.306316691,0.721990624,-3.12198136,0.994742884,-3.514991098,1.439087255,2.159623819,-0.890585616,-0.724365709,0.077157007,-1.946722925,0.930000735,0.767039841,-4.23113989,3.220557922,1.347896852,-1.984769454,-1.383624946,-8.6345825,-2.0923383,2.3551064,High,Low,Low,Low,1.895920866,-0.186645685,1.17435513,-0.570025757,0.230898247,-0.291728832,-0.006964716,-0.442762689,0.825635739,-1.125901616,-0.804684512,-0.507946636,1.251739127,1.723669097,1.280083303,-0.592642134,-1.025673149,0.792899351,-0.852076126,1.917222342,-2.40453378,-0.152672084,1.005353561,0.31691341,-0.789794248,-1.53010716,0.66598406,-2.48109833,-0.670781314,-0.228072773,-0.382513678,-0.049885293
0,1.047463742,0,0,0,0,-1.222825222,3,High,0,-1.844061286,0,1.595111314,0,0,0,0,-26.782312,21.020678,-2.7328146,-0.341934733,-0.250722236,-0.126675224,-0.271065322,-0.262047163,0.196600349,-0.006508776,0.061032984,0.184490064,0,0,-3.20523159,1.211515929,-1.504404407,0,0,0,0,1.657804076,0,-3.607594319,-3.528834075,0.914462864,0.399498075,1.101372406,1.25209669,Large,Large,-1.442196151,0.749086628,2.008925457,1.73925017,0.816503018,4.835574907,1.264004799,1.937460264,-0.448522104,-5.883358751,2.719118567,-1.535425316,0.093880438,3.679064273,-1.428122581,-0.241892803,0.10910535,1.215284504,1.411242091,-0.620457823,-1.663623236,0.467084348,-0.221078812,2.578091174,-1.14415385,0.163012778,1.523129371,-0.256265858,0.840478102,0.367780774,-2.024560217,-2.546350598,-0.060908718,-0.959619267,4.211583684,1.107984559,-2.074097858,0.788670732,-1.603133018,-0.301783158,0.07802461,-0.392546577,0.437982762,-1.694077781,1.852017241,1.107781012,-0.741942177,-1.559676683,3.665140698,0.75493096,-0.179249672,-0.393318316,0.642862482,6.5878434,-7.197236,-1.9639072,High,Low,High,Low,-0.18120949,-0.003364659,-0.53059918,3.046644052,0.013571794,-0.046684364,2.69487633,-0.132533501,-0.460734109,1.454023894,-0.594786144,1.424258535,0.173945287,-0.167896351,0.184699338,0.116786445,-0.476481645,0.23366967,-2.291086938,0.00236974,-0.5996061,-0.14797248,-0.162092787,-0.735222424,-0.659081733,-0.482915333,-0.065967027,-0.604110349,-1.482064817,-0.123956097,-1.43103974,0.304102767
-4.117155156,-0.022883783,0,0,0,0,0,4,Low,-3.533998994,0,1.454580077,0,0,0,0,0,-10.522817,-8.311989,0.007676431,-0.390632049,0.392186647,-0.200240311,-0.419821978,0.10151983,0.088997989,0.009152529,-0.139809645,-0.081147886,-1.926012788,1.63119431,-1.73604182,4.165715718,0,0,0,0,2.032831201,0,0,-3.678402581,0,2.290104501,1.868113931,0.498697789,-0.268050331,Small,Large,1.033845506,-1.964704012,0.248592461,0.954566235,2.319359529,-0.183674733,-2.262318397,0.776531842,1.247106079,-0.511781371,-0.095227665,-2.521687464,0.203775347,-1.5017342,-2.055354816,0.116101124,0.183621804,-0.176438682,0.00595726,-2.842347173,0.999443588,-1.204596369,-0.623694645,-0.232317883,0.001167512,-0.752695045,0.48475448,0.669316503,-0.833061088,-1.488844529,1.865626375,-1.14309905,-0.79184546,-1.885249945,1.101184857,0.102345144,1.149204052,2.135986897,0.762787032,0.212047954,1.897466948,-1.03972689,-0.671726997,1.252089068,-2.332289405,-0.622846338,-1.206797919,0.585119498,0.576453774,-0.554271414,-0.918346919,-0.369238917,1.564722613,3.549305,-3.8459492,-8.905938,High,Low,High,Low,0.194286811,-1.666733374,-2.252925978,0.133897828,0.388175077,0.322480398,0.130307765,0.355061442,-1.270857607,-0.520072741,-0.099120324,0.002646115,-0.54249699,-0.886071062,0.015448004,-0.817302548,0.141560983,1.09779563,-0.113953582,0.41230208,-0.49238928,-0.323137386,0.560560389,0.022799787,-0.64476527,-0.613012863,0.170917126,0.359777625,1.134877838,-1.048068889,-0.188609099,-0.166061668
-4.117155156,-0.022883783,0,0,0,0,0,5,Low,-1.446462652,0,0,1.332926232,0,0,0,0,4.1555824,-11.346121,-3.745721,-0.162339691,-0.009315748,0.367102227,0.006354531,0.245694497,0.207512208,-0.178609332,0.282314225,-0.098686922,-4.483847577,4.155283774,1.383436576,0,0.946006405,0,0,0,0,0,-3.103284417,-0.702327158,0,-1.589531965,-0.490455018,0.687079198,-1.071279699,Small,Small,-0.64218838,-1.038389514,0.693782526,2.209301122,1.676653081,1.945651324,-1.761271462,-3.007507057,-0.3832728,1.561796481,-0.626974725,1.054977732,0.503164477,2.037774651,-0.345452144,0.689430965,1.340187219,0.926436237,-0.119988947,-1.319181421,0.136520437,0.445571513,0.505093317,0.012648805,-0.957049138,1.010892461,-0.167110206,0.632856284,0.098600851,-0.988086471,-1.216743586,1.567179153,0.09935062,-1.392412223,-0.734016781,-1.025884131,-0.067920904,-2.973029771,0.411443079,-0.809391268,-0.623731585,0.02925057,-1.464297621,-0.556236521,-1.46955562,0.071651269,-0.028342543,0.197647621,-0.755977454,1.227788989,-0.179249672,-0.216052212,0.258754094,8.7287035,8.915671,2.3934062,High,Low,High,High,0.343073446,0.541691588,-1.029311552,-0.711168731,-0.597904146,0.635517168,-1.292461624,0.938917668,0.297796545,0.059844644,0.123219805,0.136464149,0.950132726,0.273191343,1.243298443,-0.128329338,1.503375058,-0.470423389,-0.204112103,-1.104240962,1.082796379,-1.260551688,0.759312674,-0.467571037,-0.8357423,1.101804438,-0.488505939,-0.337342098,0.179826003,-1.138769546,0.849845532,-0.116404857
0,0,0,0,4.437850644,0,-1.890395284,6,High,3.258205758,0,0,0,1.751921176,0,0,0,-15.806086,-3.53543,5.623258,-0.456623444,0.118451518,0.168698657,-0.356876841,0.145943426,-0.098263396,-0.039415634,0.10784985,-0.113244486,0,0,-1.59550608,2.228194387,-1.766734712,0,1.276793362,2.918400437,0,0,3.753057404,0,0,0.777563923,2.177683638,-0.197274827,-0.565197878,Small,Small,1.81950154,2.144359326,1.125746747,-3.056237358,1.047655423,1.061934678,0.43927375,4.065541976,-3.520834544,-1.947382932,2.327692953,-0.698622187,-3.133959489,-0.963722596,-0.005756634,1.319736563,1.104852469,-2.652895944,0.297836348,2.884269167,1.208290524,-6.377541747,2.002041201,-1.685190074,-0.055614513,4.907796922,-0.450766922,-0.748618004,1.47411928,2.070542764,-1.344456791,0.390956872,0.986688283,-2.530481118,-2.106283517,0.511856284,1.664092754,-0.766632903,-1.451989197,-2.703189651,2.583883171,0.29554348,0.695246612,2.333908277,-2.627094389,-1.219184514,0.7988252,1.147215261,-2.960520218,0.66848215,-0.179249672,-2.405470023,2.448171905,12.86676,6.9527307,-2.8255477,High,Low,High,Low,0.282024988,-2.159502504,0.548395051,-0.127693679,-1.743212325,0.839415564,1.819618404,-0.242721695,-2.065406917,-1.254083524,0.960644886,-1.186270652,1.474295929,0.136731609,0.363579698,-0.639052595,-0.078221296,1.152428695,-0.247290996,1.731814085,-0.636602591,-0.124285029,1.124222922,0.284511631,0.923774868,0.092561368,-0.752095715,1.273863346,-1.263584464,-0.652490317,1.157215426,-1.134881935
0,0,0,3.169430621,-0.990344828,0,0,7,Low,2.245749913,-1.597326598,0,0,0,0,0,0,-0.059837516,0.31802872,7.4998903,-0.20743481,-0.17916407,0.192653921,-0.020948595,-0.272588013,0.131430131,0.020070156,0.022977427,-0.02497428,0,0.409137239,0,-0.675999588,0,0,0,-3.679854994,0,-0.887592315,-2.349792392,1.623576162,0,-0.378271135,-0.233627561,0.757935109,0.021345758,Large,Large,-0.350260162,-1.734834006,1.153846483,1.263366072,-0.286393414,-1.919171509,0.103582098,0.712842773,-1.481052349,0.922029558,-0.457825775,-1.036784817,0.255286906,-1.595339872,0.799726416,2.036216134,0.127544069,0.479004081,0.584059835,-0.17449706,0.412034941,3.068121758,-0.478690982,-0.200964303,0.871525782,2.326832507,-0.420706248,1.291463402,-1.152579524,-1.074485856,-1.53020204,2.68959947,-0.301720041,1.058804084,-0.308529826,-0.543563455,1.700543343,-0.543206951,0.677352055,0.802757677,-0.650894014,-0.797833724,0.924201552,1.252089068,-1.129239599,-0.039716447,1.634205784,-0.85782659,-2.356666171,-0.97152355,-0.179249672,1.760760854,0.143521578,7.065931,4.029559,0.78732973,High,High,Low,Low,-0.116645232,-0.25234268,-0.537911837,-1.09837904,-0.592927174,0.456042557,-1.113003603,-0.476792481,0.190112058,-0.136023719,-0.547773904,-0.036029665,0.01433624,0.03256857,0.008874595,1.677714448,-1.799960201,-0.255437741,-0.061615242,-0.372331851,-0.115927275,0.24318187,-0.016071485,0.234929179,0.771033975,1.690773358,0.065343701,0.520596138,-0.287745687,-0.58302248,0.151337309,0.195680856
0,-3.981592249,0,0,-0.821385842,0,0,8,High,0,-0.858789431,0,0,-1.33026269,0,0,0,6.786496,4.0438395,-1.2428464,0.893372116,-0.265372422,0.019904211,-0.11415008,-0.092930546,0.017404515,0.008190459,-0.051176437,0.042416663,0,0,0,0,3.032721612,0,-0.643473948,1.13933831,0.589613409,-2.080565285,-1.942320791,0,0,0.479066563,-2.128560839,-1.515226916,1.082548297,Small,Small,-1.742621963,5.811439057,-0.349278873,-0.55523707,-4.564356542,-0.214129954,-1.606992972,0.783729348,-2.371607096,2.121631531,-0.312486784,-0.32234277,0.704867191,-1.336732479,0.555988106,3.5644558,-0.660986937,-1.210291954,-1.047636526,-0.611896166,-2.452706134,0.115164429,0.992540763,-0.476168243,0.640736051,-1.495699346,-0.203630995,0.174505204,1.164175733,0.694392058,-2.090537044,0.259145789,1.893617312,0.149431671,0.966430354,1.05470994,0.617514534,5.030598252,2.148350727,0.448201457,0.632041056,-1.893712304,-2.206140707,0.234137575,2.802656626,0.589208176,-1.126608476,-3.233743525,-0.433725156,1.996770841,0.202536959,0.714083105,-0.814427635,-12.040713,-2.3124318,-2.6179583,Low,Low,Low,High,-1.852698865,-0.101908776,0.558919513,-0.257580351,-0.705267004,-0.828283919,-0.674617684,0.839945325,1.225286639,-0.510775398,-1.625098376,0.050610179,0.958750523,-0.128510911,-0.368997411,-0.058050203,0.416683957,0.722103288,0.863804862,0.502475311,0.315664696,0.763912677,-0.209330541,0.598500274,0.591549545,-0.579275514,0.623948351,-0.213079041,-0.566126842,-0.189993561,-0.903316621,-1.037987372
0,-0.61936794,0,0,7.837379237,0,0,9,High,0,1.68896838,0,0,0,-1.36834846,0,0,-2.973716,3.1915016,3.996231,-0.072249528,0.465189902,-0.062431485,-0.422735086,0.399611126,-0.021833062,-0.266926035,0.04371287,-0.171858833,-8.340451944,0,0,5.451422546,0,0,0,2.678509266,2.89571907,2.951765685,0,1.017592446,0,-0.735918989,-0.122406456,-0.07655819,-0.675123289,Small,Small,0.947771334,1.943645521,-0.62247907,-1.455759216,1.317332824,2.05008901,-0.456520951,0.924268164,-0.862956301,-1.388481154,1.496042744,-1.945997688,0.21929481,0.867994906,-0.805399026,1.825312238,1.477793995,-0.985943837,-0.127025732,-0.837785826,-0.788457448,-1.115115994,0.237393729,0.798580574,-0.189682437,-0.540379543,-0.692816959,-0.480890845,-0.617178143,-1.582912207,1.30603607,-2.609058573,0.601817237,-2.224859386,0.402671186,-1.061480921,-0.556501688,1.362125969,-2.084933965,-1.304722186,2.117514219,-2.322065509,3.224137835,1.252089068,-2.082004117,0.481245029,0.777563915,3.799300084,0.622407765,-0.772549146,0.966110221,-0.572473301,-1.117070831,0.66644424,-1.8496729,-2.117756,High,Low,Low,Low,0.690562198,-2.110644909,-1.026335589,0.962436856,-0.163087622,-0.36387201,0.057514499,1.43787987,0.317355574,0.094481608,0.086374253,-0.146196219,1.246875516,1.126107942,0.570416616,-0.194821261,2.321582299,0.745177765,-0.909481843,1.559397538,-0.067291044,-1.224713903,-0.224220645,-1.538125161,-0.049344993,-0.2122111,-0.709015389,1.070580346,0.590103376,-0.221506944,0.81119071,-0.013829833
-4.117155156,-0.022883783,0,0,0,0,0,10,High,0,-1.11960978,-1.267114071,0,0,0,0,0,5.602205,0.36211798,5.9205484,-0.158629157,0.02617733,0.398031219,-0.250770172,-0.06364741,0.244638777,-0.130757518,-0.007693269,-0.062612829,0,3.946977675,-0.514027928,2.707041142,0,0,0,1.463016981,0,-3.145878214,-1.755940498,0,0,-0.612863103,0.224508469,-0.209207859,-0.732002995,Small,Small,-1.530638424,-1.229283665,1.311715544,0.544418537,1.902229451,2.854550835,-1.637146904,1.289330529,0.961844788,-2.475650652,3.006640177,-1.591115047,1.390844655,0.640661983,1.777501168,0.534781001,0.182860229,-0.450415956,-0.060515824,-0.226911819,0.925258218,-0.338404002,-1.315945754,-0.053444655,0.897869152,3.959554394,1.029252018,1.127407639,0.032800363,-1.040830736,-0.8382575,0.339498949,1.564436711,0.777630257,2.956590408,0.519064414,2.005631728,-0.164800848,-1.144675712,0.58412227,0.854102414,-0.429991798,1.487820998,1.525312849,-1.510752134,0.095174201,0.891132024,1.002247929,-2.374536536,0.207686065,-0.179249672,1.025001488,0.258754094,25.924622,-1.6587714,-21.87172,High,Low,High,High,-0.358924628,-1.094730387,-0.131721151,0.849841715,0.354123052,0.455829997,1.257154325,0.784751105,-0.281125229,0.316668216,0.196055859,0.532116099,-0.232715419,-0.010669287,-0.205710654,2.475597657,0.607518564,0.642208742,-0.295122563,0.844165893,0.697919491,-0.780319259,0.404429635,0.802994746,-0.313944921,0.951482411,0.175354245,-0.302913732,0.061375193,-2.387454813,1.420314428,1.424016162
